AuthorNames-Deduped,AminerCitationCount_02-2019,XPloreCitationCount_02-2019
Donna J. Cox,0,
James Helman;Lambertus Hesselink,102,23
Gordon V. Bancroft;Fergus Merritt;Todd Plessel;Paul G. Kelaita;R. Kevin McCabe;Al Globus,31,29
William L. Hibbard;David A. Santek,,24
James L. Montine,,3
Gregory M. Nielson;Bernd Hamann,32,7
Yaser Yacoob,50,0
Del Lamb;Amit Bandopadhay,105,17
Anthony J. Maeder,4,0
James V. Miller;David E. Breen;Michael J. Wozny,50,6
Ping-Kang Hsiung;Robert H. Thibadeau;Christopher B. Cox;Robert H. P. Dunn;Michael Wu;Paul Andrew Olbrich,50,5
Richard A. Becker;Stephen G. Eick;Eileen O. Miller;Allan R. Wilks,13,3
Andrew J. Hanson;Pheng-Ann Heng;B. C. Kaplan,1,2
Bowen Alpern;Larry Carter;Ted Selker,50,11
Philip K. Robertson,43,10
G. David Kerlick,47,12
Gerald L. Lohse;Henry H. Rueter;Kevin Biolsi;Neff Walker,33,13
Stephen Wehrend;Clayton Lewis,353,90
Nahum D. Gershon,0,5
Kalpathi R. Subramanian;Donald S. Fussell,108,17
Arie E. Kaufman;Roni Yagel;Reuven Bakalash;I. Spector,50,10
Lori L. Scarlatos;Theodosios Pavlidis,,6
Gyorgy Fekete,,3
Hans Hagen;Thomas Schreiber;Ernst Gschwind,67,2
Chieh-Cheng Yen;Keith W. Bedford;Jill Kempf;Robert E. Marshall,50,2
Binh Pham 0001,12,5
John C. Hart;Louis H. Kauffman;Dan Sandin,,4
Yan Ke;E. S. Panduranga,50,0
Jeffrey LeBlanc;Matthew O. Ward;Norman Wittels,347,89
Jeff Beddow,,32
Thomas A. Foley;David A. Lane,50,7
Ted Mihalisin;E. Grawlinksi;John Timlin;John Schwegler,50,10
Ray J. Meyers;Michael B. Stephenson,3,2
Wolfgang KrÃ¼ger,,11
J. L. Pajon;V. Bui Tran,50,0
David P. Dobkin;E. S. Panduranga;M. Zhu,0,0
Philip C. Hsu;John Staudhammer,3,1
Debra Dooley;Michael F. Cohen,53,9
Keith Voegele,0,0
Donald L. Brittain;Josh Aller;Michael Wilson;Sue-Ling C. Wang,,4
Elizabeth M. Wenzel;Scott S. Fisher;Philip K. Stone;Scott H. Foster,56,19
Richard L. Phillips,50,0
Michael J. Laszlo,4,1
Alyn P. Rockwood,14,5
Alfred Inselberg;Bernard Dimsdale,920,308
Dieter Lasser,50,0
Gerald W. Edgar,,0
Stephen L. Senft;Vincent J. Argio;William L. van Zandt,,2
Laurin Herr,,0
Wayne E. Fordyce;Jeffrey Ventrella,0,1
Steve M. Legensky,,6
David A. Prawel,,0
Quentin E. Dolecek;K. Moorjani;B. F. Kim;D. G. Tilley;Thomas S. Denney Jr.,0,0
Brian K. Christensen;Lisa M. Desjarlais,50,2
Larry L. Smarr,,1
Deborah Silver;M. Gao;Norman J. Zabusky,,5
Steve Bryson;Creon Levit,244,46
Paul Gene Swann;Sudhanshu Kumar Semwal,50,4
Al Globus;Creon Levit;T. Lasinski,296,93
H. W. Park;K. S. Eo;D. L. Kim;B. K. Choi;Yongmin Kim 0001;T. Alexander,50,0
Peter SchrÃ¶der;James B. Salem,88,24
